coc_number,year,city,top_25,population,total_beds_per_1000_pop,total_homeless_per_1000_pop,unsheltered_per_1000_pop,esp_per_1000_pop,thp_per_1000_pop,rrh_per_1000_pop,psh_per_1000_pop
DC-500,2012,District of Columbia CoC,x,632323,20.07,10.99,1.07,5.24,4.62,4.62,10.2
DC-500,2013,District of Columbia CoC,x,645911.88,21.79,10.62,0.79,5.96,4.35,4.35,9.63
FL-501,2007,Tampa,x,332024,4.47,19.52,16.36,1.07,2.08,2.08,1.31
FL-501,2008,Tampa,x,332173,4.22,19.51,16.35,0.98,1.91,1.91,1.32
FL-501,2009,Tampa,x,333871,4.69,22.38,20.2,1.03,2.2,2.2,1.46
FL-501,2010,Tampa,x,336945,5.38,22.17,20.02,1.03,2.32,2.32,2.02
FL-501,2011,Tampa,x,346474,5.61,21.17,18.6,1.25,2.23,2.23,2.12
FL-501,2012,Tampa,x,347645,6.12,21.34,18.54,1.28,2.27,2.27,2.56
FL-501,2013,Tampa,x,348819.95,7.59,5.47,2.7,1.19,2.12,2.12,3.37
FL-507,2007,Orlando,x,231266,12.56,16.53,7.86,4.88,5.27,5.27,2.4
FL-507,2008,Orlando,x,233467,12.47,15.99,5.85,5.32,4.99,4.99,2.15
FL-507,2009,Orlando,x,235918,12.8,16.82,6.42,5.11,5.26,5.26,2.42
FL-507,2010,Orlando,x,238893,13.49,16.91,8.27,4.5,5.88,5.88,3.09
FL-507,2011,Orlando,x,243329,14.88,18.55,9.81,4.56,6.98,6.98,3.33
FL-507,2012,Orlando,x,249562,14.95,14.66,5.78,4.38,6.83,6.83,3.73
FL-507,2013,Orlando,x,255954.66,15.33,17.1,8.03,4.3,6.81,6.81,4.2
FL-600,2007,Miami,x,386814,14.2,11.35,3.56,3.62,4.73,4.73,5.85
FL-600,2008,Miami,x,389996,14.85,11.72,3.45,3.6,4.85,4.85,6.38
FL-600,2009,Miami,x,394347,15.16,10.98,2.52,3.69,4.76,4.76,6.69
FL-600,2010,Miami,x,400733,15.48,9.67,1.89,3.97,4.92,4.92,6.57
FL-600,2011,Miami,x,410335,15.18,9.3,1.92,3.48,4.74,4.74,6.94
FL-600,2012,Miami,x,413892,17.6,9.6,2.09,3.93,4.41,4.41,9.24
FL-600,2013,Miami,x,417479.83,18.36,9.1,2,3.86,4.3,4.3,9.57
GA-500,2007,Atlanta Continuum of Care,x,477659,12.33,14.31,4.42,4.03,6.02,6.02,2.27
GA-500,2008,Atlanta Continuum of Care,x,484443,13.41,14.11,4.36,3.7,6.13,6.13,3.57
GA-500,2009,Atlanta Continuum of Care,x,490262,14.75,14.31,4.41,4.17,6.54,6.54,4.03
GA-500,2010,Atlanta Continuum of Care,x,422817,16.72,16.6,5.11,4.75,7.08,7.08,4.88
GA-500,2011,Atlanta Continuum of Care,x,431740,19.63,15.76,5.5,5.78,7.86,7.86,5.99
GA-500,2012,Atlanta Continuum of Care,x,443775,14.02,15.34,5.35,4.95,5.63,5.63,3.43
GA-500,2013,Atlanta Continuum of Care,x,456145.48,11.06,12.13,3.79,3.71,3.22,3.22,3.86
HI-501,2007,Honolulu CoC,x,373283,7.45,10.04,4.8,2.05,3.92,3.92,1.47
HI-501,2008,Honolulu CoC,x,373295,9.49,10.04,4.8,2.88,4.95,4.95,1.65
HI-501,2009,Honolulu CoC,x,374658,10.67,9.71,3.18,2.47,6.21,6.21,1.99
HI-501,2010,Honolulu CoC,x,338736,12.35,12.31,4.05,3.37,6.45,6.45,2.52
HI-501,2011,Honolulu CoC,x,342153,12.29,12.37,3.86,3.39,6.42,6.42,2.48
HI-501,2012,Honolulu CoC,x,345610,12.26,12.59,3.81,3.22,6.2,6.2,2.84
HI-501,2013,Honolulu CoC,x,349101.92,12.17,13.05,4.19,3.32,6.14,6.14,2.7
IL-510,2007,Chicago CoC,x,2703991,4.76,2.21,0.6,0.73,1.61,1.61,2.4
IL-510,2008,Chicago CoC,x,2697359,4.99,2.21,0.6,0.77,1.46,1.46,2.74
IL-510,2009,Chicago CoC,x,2697006,4.95,2.31,0.32,0.67,1.42,1.42,2.85
IL-510,2010,Chicago CoC,x,2697843,5.22,2.31,0.32,0.9,1.35,1.35,2.95
IL-510,2011,Chicago CoC,x,2705248,5.1,2.45,0.63,0.92,1.28,1.28,2.89
IL-510,2012,Chicago CoC,x,2714856,5.22,2.47,0.63,0.92,1.28,1.28,3.01
IL-510,2013,Chicago CoC,x,2724498.12,5.04,2.3,0.44,0.84,1.27,1.27,2.92
LA-503,2007,New Orleans,x,268751,5.93,6.02,2.34,0.76,2.45,2.45,2.71
LA-503,2008,New Orleans,x,301842,6.45,5.36,2.08,0.66,2.52,2.52,3.26
LA-503,2009,New Orleans,x,327803,7.91,26.61,22.52,1.71,2.28,2.28,3.92
LA-503,2010,New Orleans,x,347800,7.87,25.08,21.23,1.68,2.13,2.13,4.04
LA-503,2011,New Orleans,x,360341,8.63,18.55,14.91,1.61,2.45,2.45,4.56
LA-503,2012,New Orleans,x,369250,9.82,13.27,9.31,1.81,2.28,2.28,5.73
LA-503,2013,New Orleans,x,378379.26,10.72,6.17,2.74,1.74,1.92,1.92,7.05
MA-500,2007,Boston CoC,x,593136,14.23,8.6,0.51,5.52,3.27,3.27,5.43
MA-500,2008,Boston CoC,x,600685,14.66,8.65,0.3,5.62,3.05,3.05,5.98
MA-500,2009,Boston CoC,x,612669,14.79,8.32,0.35,5.66,2.77,2.77,6.34
MA-500,2010,Boston CoC,x,620223,15.75,8.28,0.41,6.02,2.59,2.59,7.13
MA-500,2011,Boston CoC,x,628335,16.19,8.71,0.28,6.26,2.48,2.48,7.44
MA-500,2012,Boston CoC,x,636479,17.16,8.8,0.28,6.63,2.3,2.3,8.22
MA-500,2013,Boston CoC,x,644728.55,18.02,9.12,0.29,6.82,2.17,2.17,9.01
MD-501,2007,Baltimore City CoC,x,620306,5.78,4.2,1.01,1.26,1.94,1.94,2.56
MD-501,2008,Baltimore City CoC,x,620184,5.93,4.2,1.01,0.95,2.08,2.08,2.89
MD-501,2009,Baltimore City CoC,x,620509,6.63,5.5,1.97,1.62,2.18,2.18,2.82
MD-501,2010,Baltimore City CoC,x,620971,6.44,5.5,1.97,1.62,1.99,1.99,2.82
MD-501,2011,Baltimore City CoC,x,620216,6.97,6.6,2.89,1.51,2.2,2.2,3.25
MD-501,2012,Baltimore City CoC,x,621342,6.85,6.2,2.88,1.4,2.08,2.08,3.36
MD-501,2013,Baltimore City CoC,x,622470.04,9.11,4.23,0.47,1.45,2.42,2.42,5.14
MI-501,2007,Detroit CoC,x,784998,6.7,23,16.97,2.8,1.7,1.7,2.19
MI-501,2008,Detroit CoC,x,756383,6.64,23.87,17.61,2.3,1.97,1.97,2.37
MI-501,2009,Detroit CoC,x,731155,7.92,5.05,0.35,2.14,2.25,2.25,3.51
MI-501,2010,Detroit CoC,x,711744,7.9,3.95,0.36,2.15,1.9,1.9,3.83
MI-501,2011,Detroit CoC,x,706201,10.5,4.44,0.49,2.3,1.87,1.87,6.33
MI-501,2012,Detroit CoC,x,701475,6.82,4.44,0.5,2.32,1.93,1.93,2.56
MI-501,2013,Detroit CoC,x,696780.62,6.96,4,0.4,1.84,1.91,1.91,3.04
NV-500,2007,Las Vegas,x,578302,9.69,19.74,13.09,2.4,5.62,5.62,1.66
NV-500,2008,Las Vegas,x,584400,9.64,19.53,12.95,2.26,4.97,4.97,2.4
NV-500,2009,Las Vegas,x,585381,15.08,22.78,10.82,1.56,11.17,11.17,2.33
NV-500,2010,Las Vegas,x,584167,7.59,22.83,10.84,1.48,3.71,3.71,2.39
NV-500,2011,Las Vegas,x,587929,9.32,16.04,9.64,1.44,4.93,4.93,2.94
NV-500,2012,Las Vegas,x,596424,8.52,14.67,9.5,3.47,2.02,2.02,3.02
NV-500,2013,Las Vegas,x,605041.74,8.1,12.15,7.33,2.97,1.77,1.77,3.35
NY-600,2007,New York City CoC,x,8013775,8.43,6.28,0.46,4.91,0.97,0.97,2.54
NY-600,2008,New York City CoC,x,8068195,8.55,6.22,0.4,4.8,1,1,2.74
NY-600,2009,New York City CoC,x,8131574,9.02,6.06,0.28,5.14,0.92,0.92,2.96
NY-600,2010,New York City CoC,x,8189997,9.28,6.49,0.37,5.45,0.86,0.86,2.96
NY-600,2011,New York City CoC,x,8269639,9.67,6.18,0.32,5.53,0.82,0.82,3.31
NY-600,2012,New York City CoC,x,8336697,9.16,6.79,0.39,5.85,1.07,1.07,2.23
NY-600,2013,New York City CoC,x,8404298.76,9.92,7.62,0.37,6.68,0.91,0.91,2.33
OR-501,2007,Portland-Gresham-Multnomah County CoC,x,555306,18.92,7.05,2.94,2.24,10.24,10.24,6.43
OR-501,2008,Portland-Gresham-Multnomah County CoC,x,566850,9.19,6.91,2.88,1.73,4.08,4.08,3.37
OR-501,2009,Portland-Gresham-Multnomah County CoC,x,578104,8.85,7.06,2.75,0.9,3.58,3.58,4.36
OR-501,2010,Portland-Gresham-Multnomah County CoC,x,585416,8.44,7.23,2.71,0.95,3.18,3.18,4.3
OR-501,2011,Portland-Gresham-Multnomah County CoC,x,593893,9.25,7.57,2.88,1.02,3.4,3.4,4.83
OR-501,2012,Portland-Gresham-Multnomah County CoC,x,603106,9.57,7.33,2.84,0.98,3.3,3.3,5.28
OR-501,2013,Portland-Gresham-Multnomah County CoC,x,612461.92,10.59,7.25,3.09,1.28,3.05,3.05,5.76
